ts,simbolo,dir,motivo,entrada,salida,pnl,capital
2026-05-28 03:00:00,BNB_USDT,long,stop_loss,652.8763,645.0969,-11.55,788.55
2026-05-31 09:00:00,BTC_USDT,long,trailing_stop,73385.8746,73645.6824,-1.0,787.55
2026-06-01 09:00:00,ETH_USDT,long,stop_loss,1996.5578,1979.6939,-8.61,778.94
2026-06-07 07:00:00,BTC_USDT,long,take_profit,60660.5151,61887.9849,12.58,791.52
2026-06-07 10:00:00,BNB_USDT,long,take_profit,575.4576,592.9427,18.26,809.77
2026-06-07 17:00:00,SOL_USDT,long,take_profit,62.4912,65.5298,20.07,829.84
2026-06-10 21:00:00,ETH_USDT,long,stop_loss,1629.9446,1606.8731,-11.41,818.43
2026-06-10 21:00:00,SOL_USDT,long,stop_loss,64.3522,62.944,-16.02,802.42
2026-06-11 16:00:00,ETH_USDT,long,stop_loss,1649.8045,1630.6406,-10.15,792.27
2026-06-12 06:00:00,BNB_USDT,long,trailing_stop,590.8953,596.0082,9.06,801.32
2026-06-12 10:00:00,SOL_USDT,long,take_profit,65.0225,67.1564,41.28,842.6
2026-06-12 16:00:00,SOL_USDT,short,stop_loss,66.7066,67.6777,-14.04,828.57
2026-06-14 14:00:00,ETH_USDT,long,stop_loss,1679.8995,1657.4884,-13.81,814.75
2026-06-14 21:00:00,SOL_USDT,short,stop_loss,67.3463,68.246,-12.61,802.14
2026-06-18 16:00:00,ETH_USDT,long,stop_loss,1739.4793,1713.294,-13.79,788.35
2026-06-20 03:00:00,BTC_USDT,long,take_profit,62454.7117,63481.1416,10.83,799.18
2026-06-20 07:00:00,BNB_USDT,long,take_profit,572.9263,584.7369,14.16,813.34
2026-06-21 21:00:00,SOL_USDT,short,take_profit,74.2928,72.8066,14.76,828.1
2026-06-22 14:00:00,BNB_USDT,short,stop_loss,592.8634,600.0752,-12.16,815.94
2026-06-29 17:00:00,ETH_USDT,long,trailing_stop,1574.4368,1588.7039,4.82,820.76
2026-06-29 17:00:00,SOL_USDT,long,take_profit,71.3457,73.448,46.29,867.06
2026-07-01 15:00:00,BTC_USDT,long,take_profit,59374.6725,60419.3952,27.26,894.32
2026-07-02 19:00:00,BNB_USDT,long,trailing_stop,548.5441,556.8517,20.88,915.2
2026-07-03 10:00:00,ETH_USDT,short,stop_loss,1718.3704,1737.6322,-24.37,890.83
2026-07-04 14:00:00,ETH_USDT,short,stop_loss,1752.6532,1788.0318,-40.56,850.27
2026-07-05 11:00:00,SOL_USDT,short,trailing_stop,81.7391,80.952,11.55,861.81
2026-07-05 15:00:00,ETH_USDT,short,stop_loss,1758.5103,1777.2733,-21.72,840.1
2026-07-05 21:00:00,BTC_USDT,short,stop_loss,62625.5716,63407.5431,-25.52,814.58
2026-07-06 16:00:00,BTC_USDT,short,stop_loss,62545.8115,63331.3681,-24.57,790.01
2026-07-06 20:00:00,ETH_USDT,short,stop_loss,1769.6847,1809.0386,-43.08,746.93
2026-07-07 15:00:00,ETH_USDT,short,trailing_stop,1803.7577,1796.8779,0.74,747.67
2026-07-07 17:00:00,SOL_USDT,short,stop_loss,81.2793,82.3817,-12.02,735.65
2026-07-08 03:00:00,SOL_USDT,short,take_profit,80.8895,78.981,15.5,751.16
2026-07-08 09:00:00,ETH_USDT,short,take_profit,1774.2025,1735.8979,14.23,765.39
2026-07-10 04:00:00,BTC_USDT,short,stop_loss,62794.587,63725.6247,-14.25,751.13
2026-07-10 04:00:00,BNB_USDT,short,stop_loss,569.1553,575.4261,-10.04,741.09
2026-07-11 14:00:00,BNB_USDT,short,stop_loss,575.5221,582.0874,-10.61,730.48
2026-07-11 22:00:00,SOL_USDT,long,stop_loss,77.989,77.0379,-10.45,720.02
2026-07-13 04:00:00,SOL_USDT,long,stop_loss,77.1285,75.7554,-14.37,705.65
2026-07-13 18:00:00,BTC_USDT,short,take_profit,63891.2384,61909.8322,18.98,724.63
2026-07-13 18:00:00,BNB_USDT,short,take_profit,575.2622,563.3643,12.98,737.61
2026-07-15 11:00:00,ETH_USDT,long,take_profit,1845.8425,1926.0216,29.92,767.53
2026-07-19 16:00:00,SOL_USDT,long,trailing_stop,75.0275,75.5944,2.75,770.28
2026-07-21 14:00:00,BNB_USDT,long,trailing_stop,570.8953,574.4623,2.37,772.65
2026-07-23 17:00:00,ETH_USDT,short,take_profit,1916.961,1875.9737,14.78,787.43
2026-07-24 13:00:00,SOL_USDT,long,stop_loss,75.5077,74.6889,-20.39,767.04
2026-07-26 16:00:00,SOL_USDT,long,take_profit,73.9069,75.7935,16.95,783.99
2026-07-28 03:00:00,SOL_USDT,short,take_profit,76.1219,73.2502,27.92,811.91
2026-07-28 14:00:00,BNB_USDT,short,trailing_stop,574.6126,570.7722,3.07,814.98
2026-07-29 18:00:00,BTC_USDT,long,stop_loss,64433.9008,63511.7966,-13.73,801.25
2026-07-29 20:00:00,SOL_USDT,long,stop_loss,73.4267,72.3067,-14.83,786.42
